Starting masscan 1.3.2 (http://bit.ly/14GZzcT) at 2024-11-27 09:47:23 GMT
Initiating SYN Stealth Scan
Scanning 1048576 hosts [1 port/host]
rate:  9.93-kpps, 61.02% done,   0:00:42 remaining, found=6535       
rate:  9.87-kpps, 61.67% done,   0:00:41 remaining, found=6629       
rate:  9.92-kpps, 62.39% done,   0:00:40 remaining, found=6712       
rate:  9.79-kpps, 63.10% done,   0:00:39 remaining, found=6778       
rate:  9.96-kpps, 63.75% done,   0:00:39 remaining, found=6869       
rate:  9.86-kpps, 64.45% done,   0:00:38 remaining, found=6941       
rate:  9.90-kpps, 65.19% done,   0:00:37 remaining, found=7052       
rate:  9.92-kpps, 65.81% done,   0:00:37 remaining, found=7154       
rate:  9.90-kpps, 66.53% done,   0:00:36 remaining, found=7241       
rate:  9.88-kpps, 67.19% done,   0:00:35 remaining, found=7311       
rate:  9.88-kpps, 67.91% done,   0:00:35 remaining, found=7388       
rate:  9.86-kpps, 68.62% done,   0:00:34 remaining, found=7490       
rate:  9.91-kpps, 69.24% done,   0:00:33 remaining, found=7565       
rate:  9.88-kpps, 70.02% done,   0:00:32 remaining, found=7635       
rate:  9.84-kpps, 70.72% done,   0:00:31 remaining, found=7692       
rate:  9.80-kpps, 71.32% done,   0:00:31 remaining, found=7769       
rate:  9.88-kpps, 72.08% done,   0:00:30 remaining, found=7842       
rate:  9.85-kpps, 72.81% done,   0:00:29 remaining, found=7919       
rate:  9.84-kpps, 73.52% done,   0:00:28 remaining, found=7988       
rate:  9.85-kpps, 74.10% done,   0:00:28 remaining, found=8075       
rate:  9.87-kpps, 74.85% done,   0:00:27 remaining, found=8164       
rate:  9.85-kpps, 75.61% done,   0:00:26 remaining, found=8214       
rate:  9.94-kpps, 76.27% done,   0:00:25 remaining, found=8335       
rate:  9.97-kpps, 76.93% done,   0:00:24 remaining, found=8420       
rate:  9.83-kpps, 77.68% done,   0:00:24 remaining, found=8503       
rate:  9.88-kpps, 78.38% done,   0:00:23 remaining, found=8584       
rate:  9.94-kpps, 79.01% done,   0:00:23 remaining, found=8667       
rate:  9.87-kpps, 79.78% done,   0:00:21 remaining, found=8754       
rate:  9.88-kpps, 80.48% done,   0:00:20 remaining, found=8830       
rate:  9.86-kpps, 81.09% done,   0:00:20 remaining, found=8915       
rate:  9.86-kpps, 81.83% done,   0:00:19 remaining, found=9000       
rate:  9.87-kpps, 82.52% done,   0:00:18 remaining, found=9100       
rate:  9.82-kpps, 83.27% done,   0:00:18 remaining, found=9183       
rate:  9.87-kpps, 83.86% done,   0:00:17 remaining, found=9234       
rate:  9.86-kpps, 84.61% done,   0:00:16 remaining, found=9311       
rate:  9.87-kpps, 85.36% done,   0:00:15 remaining, found=9363       
rate:  9.89-kpps, 86.04% done,   0:00:15 remaining, found=9432       
rate:  9.91-kpps, 86.76% done,   0:00:14 remaining, found=9498       
rate:  9.85-kpps, 87.39% done,   0:00:13 remaining, found=9576       
rate:  9.85-kpps, 88.12% done,   0:00:12 remaining, found=9665       
rate:  9.85-kpps, 88.83% done,   0:00:12 remaining, found=9780       
rate:  9.80-kpps, 89.53% done,   0:00:11 remaining, found=9851       
rate:  9.89-kpps, 90.27% done,   0:00:10 remaining, found=9926       
rate:  9.88-kpps, 90.89% done,   0:00:09 remaining, found=10012       
rate:  9.90-kpps, 91.64% done,   0:00:08 remaining, found=10070       
rate:  9.88-kpps, 92.35% done,   0:00:08 remaining, found=10161       
rate:  9.91-kpps, 92.98% done,   0:00:07 remaining, found=10225       
rate:  9.93-kpps, 93.73% done,   0:00:06 remaining, found=10321       
rate:  9.86-kpps, 94.44% done,   0:00:05 remaining, found=10387       
rate:  9.87-kpps, 95.07% done,   0:00:05 remaining, found=10463       
rate:  9.88-kpps, 95.81% done,   0:00:04 remaining, found=10559       
rate:  9.87-kpps, 96.54% done,   0:00:03 remaining, found=10621       
rate:  9.86-kpps, 97.24% done,   0:00:02 remaining, found=10712       
rate:  9.85-kpps, 97.87% done,   0:00:02 remaining, found=10784       
rate:  9.99-kpps, 98.60% done,   0:00:01 remaining, found=10881       
rate:  9.95-kpps, 99.35% done,   0:00:00 remaining, found=10939       
rate:  9.94-kpps, 99.99% done,   0:00:00 remaining, found=11006       
rate:  0.00-kpps, 100.00% done, waiting 0-secs, found=11029       
rate:  0.00-kpps, 100.00% done, waiting 0-secs, found=11038       
rate:  0.00-kpps, 100.00% done, waiting 0-secs, found=11039       
                                                                             
